date,feature_index,temperature-mean
2021-04-27T00:00:00.000Z,0,28093.185185185186
2021-04-30T00:00:00.000Z,0,28740.10101010101
2021-04-29T00:00:00.000Z,0,28515.329966329966
2021-03-30T00:00:00.000Z,0,27904.070707070707
2021-04-01T00:00:00.000Z,0,28160.464646464647
2021-03-31T00:00:00.000Z,0,27838.46127946128
2021-04-02T00:00:00.000Z,0,28239.531986531987
2021-05-18T00:00:00.000Z,0,28941.666666666668
2021-05-20T00:00:00.000Z,0,28952.094276094274
2021-05-17T00:00:00.000Z,0,29088.93265993266
2021-05-19T00:00:00.000Z,0,28810.858585858587
2021-02-13T00:00:00.000Z,0,26553.390572390574
2021-02-11T00:00:00.000Z,0,27951.097643097644
2021-02-12T00:00:00.000Z,0,27049.51851851852
2021-02-10T00:00:00.000Z,0,27842.55218855219
2021-05-25T00:00:00.000Z,0,29095.73063973064
2021-05-26T00:00:00.000Z,0,29271.131313131315
2021-05-28T00:00:00.000Z,0,29480.383838383837
2021-05-27T00:00:00.000Z,0,29418.117845117846
2021-05-30T00:00:00.000Z,0,29233.070707070707
2021-05-31T00:00:00.000Z,0,29092.400673400673
2021-06-01T00:00:00.000Z,0,28700.909090909092
2021-05-29T00:00:00.000Z,0,29326.23569023569
2021-06-11T00:00:00.000Z,0,29259.276094276094
2021-06-10T00:00:00.000Z,0,29294.804713804715
2021-06-13T00:00:00.000Z,0,29425.521885521885
2021-06-12T00:00:00.000Z,0,29389.89898989899
2021-02-24T00:00:00.000Z,0,26907.632996632998
2021-02-22T00:00:00.000Z,0,27647.434343434343
2021-02-25T00:00:00.000Z,0,27398.771043771045
2021-02-23T00:00:00.000Z,0,27307.299663299662
2021-01-08T00:00:00.000Z,0,27602.208754208754
2021-01-07T00:00:00.000Z,0,28007.303030303032
2021-01-06T00:00:00.000Z,0,27894.771043771045
2021-01-05T00:00:00.000Z,0,27623.616161616163
2021-06-17T00:00:00.000Z,0,29264.397306397306
2021-06-14T00:00:00.000Z,0,29392.377104377105
2021-06-15T00:00:00.000Z,0,29339.72053872054
2021-06-16T00:00:00.000Z,0,29299.117845117846
2021-04-11T00:00:00.000Z,0,28381.410774410775
2021-04-12T00:00:00.000Z,0,28232.784511784514
2021-04-13T00:00:00.000Z,0,28273.057239057238
2021-04-14T00:00:00.000Z,0,28300.08754208754
2021-01-27T00:00:00.000Z,0,27903.22558922559
2021-01-25T00:00:00.000Z,0,28006.319865319867
